advertiser_id, site_id, date      , campaign_id, campaign_name          , acos  , advertising_items_quantity, clicks, cost  , cpc , cvr  , direct_amount, direct_items_quantity, direct_units_quantity, indirect_amount, indirect_items_quantity, indirect_units_quantity, organic_items_quantity, organic_units_amount, organic_units_quantity, prints, roas , sov   , total_amount, units_quantity
       731958, MLB    , 2025-09-30,   353235970, VNZK01_PRODUCT-ADS_PERF,   7.91,                          7,    170, 326.0 , 1.92,  5.88,       3963.4 ,                     6,                     9,          157.0 ,                       1,                       1,                      5,               2233.0,                      5, 117692, 12.64,  58.33,      4120.4 ,             10
       731958, MLB    , 2025-10-01,   353235970, VNZK01_PRODUCT-ADS_PERF,  13.32,                          5,    159, 326.0 , 2.05,  3.14,       1308.35,                     3,                     3,         1138.2 ,                       2,                       2,                      3,               1005.0,                      3, 108334,  7.5 ,  62.5 ,      2446.55,              5
       731958, MLB    , 2025-10-02,   353235970, VNZK01_PRODUCT-ADS_PERF,   6.76,                          9,    173, 326.0 , 1.88,  5.2 ,       4412.75,                     7,                     7,          409.85,                       2,                       2,                      8,               3218.0,                     10,  99658, 14.79,  52.94,      4822.6 ,              9
       731958, MLB    , 2025-10-03,   353235970, VNZK01_PRODUCT-ADS_PERF,   9.58,                          8,    153, 326.0 , 2.13,  5.23,       1174.05,                     5,                     5,         2228.25,                       3,                       3,                      1,                154.0,                      1,  94401, 10.44,  88.89,      3402.3 ,              8
       731958, MLB    , 2025-10-04,   353235970, VNZK01_PRODUCT-ADS_PERF,  19.77,                          4,    144, 326.0 , 2.26,  2.78,       1649.05,                     4,                     4,            0.0 ,                       0,                       0,                      5,               1934.0,                      9,  80052,  5.06,  44.44,      1649.05,              4
       731958, MLB    , 2025-10-05,   353235970, VNZK01_PRODUCT-ADS_PERF,   0.0 ,                          0,    162, 326.0 , 2.01,  0.0 ,          0.0 ,                     0,                     0,            0.0 ,                       0,                       0,                      3,               1572.0,                      5,  66919,  0.0 ,   0.0 ,         0.0 ,              0
       731958, MLB    , 2025-10-06,   353235970, VNZK01_PRODUCT-ADS_PERF,  17.31,                          7,    108, 326.0 , 3.02,  7.41,       1370.9 ,                     5,                     5,          511.9 ,                       2,                       3,                     13,               5290.0,                     14,  74030,  5.78,  35.0 ,      1882.8 ,              8
       731958, MLB    , 2025-10-07,   353235970, VNZK01_PRODUCT-ADS_PERF,  15.93,                         12,    268, 580.0 , 2.16,  5.6 ,        157.0 ,                     1,                     1,         3484.25,                      11,                      14,                      7,               2263.0,                      7, 134275,  6.28,  63.16,      3641.25,             15
       731958, MLB    , 2025-10-08,   353235970, VNZK01_PRODUCT-ADS_PERF,  48.55,                          3,    210, 580.0 , 2.76,  1.43,        197.0 ,                     1,                     1,          997.7 ,                       2,                       2,                      5,               1399.0,                      5, 101841,  2.06,  37.5 ,      1194.7 ,              3
       731958, MLB    , 2025-10-09,   353235970, VNZK01_PRODUCT-ADS_PERF,  29.29,                         10,    253, 580.0 , 2.29,  3.95,       1170.6 ,                     7,                     7,          809.55,                       3,                       3,                      6,               2254.0,                      6, 137486,  3.41,  62.5 ,      1980.15,             10
       731958, MLB    , 2025-10-10,   353235970, VNZK01_PRODUCT-ADS_PERF,  18.59,                          7,    199, 541.66, 2.72,  3.52,       2636.1 ,                     6,                     6,          277.0 ,                       1,                       1,                      0,                  0.0,                      0, 128507,  5.38, 100.0 ,      2913.1 ,              7
       731958, MLB    , 2025-10-11,   353235970, VNZK01_PRODUCT-ADS_PERF,   7.72,                          8,    150, 382.37, 2.55,  6.0 ,       4839.8 ,                     7,                     8,          112.35,                       1,                       1,                      3,                524.0,                      4,  99098, 12.95,  72.73,      4952.15,              9
       731958, MLB    , 2025-10-12,   353235970, VNZK01_PRODUCT-ADS_PERF,  30.7 ,                          6,    286, 817.0 , 2.86,  2.8 ,       1964.25,                     5,                     7,          697.0 ,                       1,                       1,                      9,               2711.0,                     10,  97994,  3.26,  40.0 ,      2661.25,              8
       731958, MLB    , 2025-10-13,   353235970, VNZK01_PRODUCT-ADS_PERF,  16.85,                          7,    271, 580.0 , 2.14,  2.58,       2846.55,                     4,                     4,          595.85,                       3,                       3,                      8,               3723.0,                      8, 133037,  5.94,  46.67,      3442.4 ,              7
       731958, MLB    , 2025-10-14,   353235970, VNZK01_PRODUCT-ADS_PERF,  17.72,                          9,    275, 580.0 , 2.11,  3.64,       2817.25,                     8,                     9,          455.7 ,                       1,                       1,                     10,               3668.0,                     10, 141810,  5.64,  47.37,      3272.95,             10
       731958, MLB    , 2025-10-15,   353235970, VNZK01_PRODUCT-ADS_PERF, 329.95,                          1,    249, 650.0 , 2.61,  0.4 ,        197.0 ,                     1,                     1,            0.0 ,                       0,                       0,                      7,               1743.0,                      7, 124520,  0.3 ,  12.5 ,       197.0 ,              1
       731958, MLB    , 2025-10-16,   353235970, VNZK01_PRODUCT-ADS_PERF,  21.8 ,                          7,    226, 650.0 , 2.88,  3.1 ,       1845.9 ,                     4,                     4,         1135.7 ,                       3,                       3,                      2,               1568.0,                      2, 127598,  4.59,  77.78,      2981.6 ,              7
       731958, MLB    , 2025-10-17,   353235970, VNZK01_PRODUCT-ADS_PERF,  14.7 ,                          9,    204, 650.0 , 3.19,  7.35,       2231.25,                     4,                     5,         2191.8 ,                       5,                      10,                      1,                112.0,                      1, 116206,  6.8 ,  90.0 ,      4423.05,             15
       731958, MLB    , 2025-10-18,   353235970, VNZK01_PRODUCT-ADS_PERF,  22.58,                          8,    296, 650.0 , 2.2 ,  2.7 ,       1335.2 ,                     3,                     3,         1543.05,                       5,                       5,                      5,               2376.0,                      6, 134025,  4.43,  61.54,      2878.25,              8
       731958, MLB    , 2025-10-19,   353235970, VNZK01_PRODUCT-ADS_PERF,  28.51,                          4,    289, 650.0 , 2.25,  1.38,       1340.9 ,                     3,                     3,          938.7 ,                       1,                       1,                      9,               3730.0,                     12, 157001,  3.51,  30.77,      2279.6 ,              4
       731958, MLB    , 2025-10-20,   353235970, VNZK01_PRODUCT-ADS_PERF,  26.77,                          5,    244, 481.64, 1.97,  2.87,       1374.9 ,                     3,                     5,          424.0 ,                       2,                       2,                      6,               2143.0,                      7, 128790,  3.73,  45.45,      1798.9 ,              7
       731958, MLB    , 2025-10-21,   353235970, VNZK01_PRODUCT-ADS_PERF,  32.32,                          6,    356, 820.0 , 2.3 ,  1.69,       1790.1 ,                     5,                     5,          746.9 ,                       1,                       1,                     12,               4549.0,                     13, 225491,  3.09,  33.33,      2537.0 ,              6
       731958, MLB    , 2025-10-22,   353235970, VNZK01_PRODUCT-ADS_PERF,  75.76,                          4,    229, 650.0 , 2.84,  1.75,        581.0 ,                     3,                     3,          277.0 ,                       1,                       1,                     10,               2555.0,                     10, 177740,  1.32,  28.57,       858.0 ,              4
       731958, MLB    , 2025-10-23,   353235970, VNZK01_PRODUCT-ADS_PERF,  15.33,                          8,    234, 650.0 , 2.78,  4.27,       3455.1 ,                     7,                     9,          784.35,                       1,                       1,                      2,                311.0,                      2, 140579,  6.52,  80.0 ,      4239.45,             10
